timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/1/2020,325500,327560,325335.6,327440,327440,342,0,1
8/31/2020,327500,329299.19,326900,327560,327560,454,0,1
8/28/2020,325950,328279.19,323570.01,327431,327431,299,0,1
8/27/2020,323700,327000,323700,325659,325659,578,0,1
8/26/2020,319599.9,323939.46,318900,322301,322301,429,0,1
8/25/2020,320300,321001,319534,319970.01,319970.01,332,0,1
8/24/2020,315100,320000,314501.03,318800,318800,414,0,1
8/21/2020,309000,312600.01,309000,311126,311126,365,0,1
8/20/2020,307376,310107.01,307376,309300,309300,267,0,1
8/19/2020,313745.01,315300,310412.01,310800.01,310800.01,281,0,1
8/18/2020,310910,314800,310700,313419,313419,223,0,1
8/17/2020,315139,315500,309747.01,310220,310220,414,0,1
8/14/2020,317300,318000,315402.25,316251,316251,222,0,1
8/13/2020,318500,319810,317470.58,318114,318114,268,0,1
8/12/2020,320255,321229,318800.57,319999.99,319999.99,381,0,1
8/11/2020,322500,323499.96,318500.01,319379.99,319379.99,504,0,1
8/10/2020,316820,319250,314240,318830,318830,440,0,1
8/7/2020,305681,314365,305681,314333.88,314333.88,444,0,1
8/6/2020,305000,308000,304820.07,307454.95,307454.95,442,0,1
8/5/2020,301871,306969.99,301200,305200,305200,562,0,1
8/4/2020,298000,300330,297470.01,300330,300330,272,0,1
8/3/2020,295000,301000,294510.01,298800,298800,473,0,1
7/31/2020,291750,293797.99,290150,293631,293631,275,0,1
7/30/2020,290335.05,291927,288610.49,291362.01,291362.01,236,0,1
7/29/2020,290940,294869.99,290940,294496,294496,250,0,1
7/28/2020,286000.01,291719.84,286000.01,290940,290940,313,0,1
7/27/2020,290590,290692,287850,288107.01,288107.01,347,0,1
7/24/2020,290684,294253.99,290521,291621,291621,343,0,1
7/23/2020,287961,290084.245,287435.84,289436,289436,262,0,1
7/22/2020,287000,288319,286210.58,287961,287961,223,0,1
7/21/2020,286721,290170,286600,288201,288201,464,0,1
7/20/2020,285400,286900,284450,285590,285590,221,0,1
