timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/1/2020,1636.63,1665.73,1632.22,1660.71,1660.71,1826655,0,1
8/31/2020,1647.89,1647.965,1630.31,1634.18,1634.18,1823406,0,1
8/28/2020,1633.49,1647.1699,1630.75,1644.41,1644.41,1499782,0,1
8/27/2020,1653.68,1655,1625.75,1634.33,1634.33,1861602,0,1
8/26/2020,1608,1659.22,1603.6,1652.38,1652.38,3581072,0,1
8/25/2020,1582.07,1611.62,1582.07,1608.22,1608.22,2132084,0,1
8/24/2020,1593.98,1614.17,1580.57,1588.2,1588.2,1410229,0,1
8/21/2020,1577.03,1597.72,1568.005,1580.42,1580.42,1446453,0,1
8/20/2020,1543.45,1585.87,1538.2,1581.75,1581.75,1706877,0,1
8/19/2020,1553.31,1573.68,1543.95,1547.53,1547.53,1660611,0,1
8/18/2020,1526.18,1562.47,1523.71,1558.6,1558.6,2027086,0,1
8/17/2020,1514.67,1525.61,1507.97,1517.98,1517.98,1364082,0,1
8/14/2020,1515.66,1521.9,1502.88,1507.73,1507.73,1355200,0,1
8/13/2020,1510.34,1537.25,1508.005,1518.45,1518.45,1455208,0,1
8/12/2020,1485.58,1512.3859,1485.25,1506.62,1506.62,1437655,0,1
8/11/2020,1492.44,1510,1478,1480.32,1480.32,1454365,0,1
8/10/2020,1487.18,1504.075,1473.08,1496.1,1496.1,1289530,0,1
8/7/2020,1500,1516.845,1481.64,1494.49,1494.49,1577826,0,1
8/6/2020,1471.75,1502.39,1466,1500.1,1500.1,1995368,0,1
8/5/2020,1469.3,1482.41,1463.46,1473.61,1473.61,1979957,0,1
8/4/2020,1476.57,1485.56,1458.65,1464.97,1464.97,1903489,0,1
8/3/2020,1486.64,1490.47,1465.64,1474.45,1474.45,2331514,0,1
7/31/2020,1505.01,1508.95,1454.03,1482.96,1482.96,3429036,0,1
7/30/2020,1497,1537.87,1492.22,1531.45,1531.45,1671396,0,1
7/29/2020,1506.32,1531.2522,1501.33,1522.02,1522.02,1106534,0,1
7/28/2020,1525.18,1526.48,1497.66,1500.34,1500.34,1702174,0,1
7/27/2020,1515.6,1540.97,1515.21,1530.2,1530.2,1245980,0,1
