timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/1/2020,153.87,154.08,150.07,151.52,151.52,6309237,0,1
8/31/2020,153,154.4,152.2605,153.41,153.41,6362683,0,1
8/28/2020,152.74,153.7,151.9,153.64,153.64,5395684,0,1
8/27/2020,152.42,153.26,151.89,152.98,152.98,5575432,0,1
8/26/2020,151.86,152.65,150.64,152.3,152.3,8008292,0,1
8/25/2020,152.78,153.07,151.535,152.06,152.06,3863477,0,1
8/24/2020,152.74,152.9,150.35,152.15,152.15,5387937,1.01,1
8/21/2020,151.78,153.65,150.5901,152.76,151.7526,6722759,0,1
8/20/2020,149.75,151.58,149.5457,151.42,150.4215,4874739,0,1
8/19/2020,149.58,151.58,149.32,150.39,149.3983,7816251,0,1
8/18/2020,149.26,150.1,148.57,150.09,149.1002,4322567,0,1
8/17/2020,148.32,150.23,148.23,148.99,148.0075,4161971,0,1
8/14/2020,147.61,149.34,147.58,148.24,147.2624,4240189,0,1
8/13/2020,148.54,149.19,147.53,148,147.024,5155457,0,1
8/12/2020,147.54,150.24,147.49,149.66,148.6731,5258127,0,1
8/11/2020,149.14,149.23,146.37,146.97,146.0008,6388389,0,1
8/10/2020,148.86,149.01,147.72,148.03,147.0538,4096620,0,1
8/7/2020,147.51,148.65,147.15,148.6,147.6201,3635071,0,1
8/6/2020,148.4,149.25,146.5,147.55,146.577,4837865,0,1
8/5/2020,149.1,149.31,147.8,148.4,147.4214,5493196,0,1
8/4/2020,146.99,147.22,145.8247,147.22,146.2492,4162154,0,1
8/3/2020,146.39,147.79,146.15,147.35,146.3783,4079755,0,1
7/31/2020,146.66,147.45,143.96,145.76,144.7988,8257997,0,1
7/30/2020,147.44,147.5,146.14,146.84,145.8717,5922481,0,1
7/29/2020,146.39,147.47,146.07,146.54,145.5737,4489147,0,1
7/28/2020,147.4,147.99,146.75,146.83,145.8617,4842184,0,1
7/27/2020,147.37,148.92,146.86,147.18,146.2094,5675155,0,1
7/24/2020,150.5,150.6,147.03,148.12,147.1432,5405867,0,1
7/23/2020,150.21,150.85,149.28,149.61,148.6234,6566269,0,1
7/22/2020,149.93,150.405,147.85,150.01,149.0208,5910193,0,1
7/21/2020,149.6,151.67,149.5,149.74,148.7526,5579700,0,1
7/20/2020,150.23,150.32,148.43,149.6,148.6135,6191500,0,1
7/17/2020,150,150.58,148.69,149.35,148.3651,7441100,0,1
7/16/2020,148.68,149.34,146.68,149.25,148.2658,9304700,0,1
7/15/2020,149.73,150.21,148.23,148.26,147.2823,8512800,0,1
7/14/2020,145.32,148.39,145.26,147.92,146.9446,7447100,0,1
7/13/2020,143.61,146.64,143.28,145.21,144.2524,6951900,0,1
7/10/2020,142.75,142.87,141.43,142.37,141.4312,4282400,0,1
7/9/2020,142.76,144.43,140.58,142.49,141.5504,5738600,0,1
7/8/2020,142.87,143.39,141.7,143.27,142.3252,6257400,0,1
7/7/2020,141.39,143.97,141.23,142.85,141.908,5622600,0,1
7/6/2020,142.17,143.77,141.88,142.98,142.0371,6156400,0,1
7/2/2020,141.25,141.84,140.33,140.97,140.0404,5150600,0,1
7/1/2020,140.69,141.39,140.06,140.38,139.4543,6174800,0,1
6/30/2020,139.4,141.02,137.84,140.63,139.7026,7738300,0,1
6/29/2020,138.74,139.7,137.98,139.04,138.1231,5309797,0,1
6/26/2020,139.53,139.6,137.02,137.81,136.9012,12849700,0,1
6/25/2020,140.57,140.57,137.54,139.67,138.749,7421200,0,1
6/24/2020,141.49,142.19,138.72,139.82,138.898,8211200,0,1
6/23/2020,143.74,144.08,142.68,142.86,141.9179,5921600,0,1
6/22/2020,143.47,143.66,142.03,143.39,142.4444,5285600,0,1
6/19/2020,145.79,145.88,143.25,143.83,142.8815,12206900,0,1
6/18/2020,142.52,144.12,141.87,143.41,142.4643,4797400,0,1
6/17/2020,144.9,145.42,143.47,144.02,143.0703,5092800,0,1
6/16/2020,144.09,145.42,142.77,144.46,143.5074,7579100,0,1
6/15/2020,141,142.4,139.39,141.25,140.3185,8649600,0,1
6/12/2020,142.84,143.71,140.28,142.15,141.2126,8685700,0,1
6/11/2020,148.58,149.17,140.75,140.87,139.941,11913300,0,1
6/10/2020,146.6,150.03,146.6,147.8,146.8253,10137100,0,1
6/9/2020,148.25,149.33,145.65,145.96,144.9975,8247200,0,1
6/8/2020,145.88,147.61,145.74,146.77,145.8021,7555600,0,1
6/5/2020,147.69,149.64,146.6,147.3,146.3286,9725400,0,1
6/4/2020,146.8,148.37,145.58,146.73,145.7624,8170500,0,1
6/3/2020,148.52,149.14,146.45,148.65,147.6697,6339500,0,1
6/2/2020,147.06,148.35,146.12,148.25,147.2724,6078300,0,1
6/1/2020,147.29,148.34,146.01,147.19,146.2194,6141800,0,1
5/29/2020,147.96,149.35,145.33,148.75,147.7691,8505200,0,1
5/28/2020,146.02,148.11,145.81,146.97,146.0008,6189600,0,1
5/27/2020,144.32,145.25,143.01,144.89,143.9345,7950000,0,1
5/26/2020,146.19,146.44,144.3,144.56,143.6067,7072300,0,1
5/22/2020,144.57,146.29,144.06,144.37,143.418,6140900,1.01,1
5/21/2020,148.5,148.5,145.82,146.71,144.73,6487300,0,1
5/20/2020,149.75,150.39,147.27,147.68,145.6869,5713400,0,1
5/19/2020,150.1,151.1,148.4,149.02,147.0088,6107300,0,1
5/18/2020,152.49,153.62,150.46,150.52,148.4886,7390000,0,1
5/15/2020,147.87,150.48,145.66,150.44,148.4097,10340400,0,1
5/14/2020,145.39,147.76,144.26,147.64,145.6475,6871400,0,1
5/13/2020,146.08,148.95,146.01,147.13,145.1443,6970500,0,1
5/12/2020,150.1,150.34,147.03,147.14,145.1542,7039200,0,1
5/11/2020,148.45,150.1,148.12,149.11,147.0976,5887500,0,1
5/8/2020,148.92,149.18,147.89,148.7,146.6932,4712100,0,1
5/7/2020,149.37,149.53,147.13,147.59,145.5981,5570500,0,1
5/6/2020,150,150.32,148.04,148.08,146.0815,6191600,0,1
5/5/2020,149,150.78,148.64,149.5,147.4824,6562300,0,1
5/4/2020,148.77,149.08,147.09,148.27,146.269,7198400,0,1
5/1/2020,149.62,149.67,146.79,148.29,146.2887,7309000,0,1
4/30/2020,148.46,150.43,147.16,150.04,148.0151,14829600,0,1
4/29/2020,151.38,151.63,149.16,150.24,148.2124,9285200,0,1
4/28/2020,151.25,153.1,150.7,151.39,149.3469,8558700,0,1
4/27/2020,154.81,156.05,154,154.29,152.2077,8924000,0,1
4/24/2020,155.57,156.3,153.64,154.86,152.77,8654100,0,1
4/23/2020,154.25,157,153.7,155.51,153.4113,10665000,0,1
4/22/2020,152.81,155,151.73,152.99,150.9253,11518300,0,1
4/21/2020,150.12,151.64,148.57,149.68,147.6599,9951100,0,1
4/20/2020,150.93,153,150.09,151.67,149.6231,12226200,0,1
4/17/2020,151.99,152.3,149.6,152.02,149.9684,10920000,0,1
4/16/2020,148.31,150.68,146.44,149.67,147.6501,12181700,0,1
4/15/2020,145.55,147.91,143.54,147.66,145.6672,11962300,0,1
4/14/2020,145.42,147.42,144.05,146.03,144.0592,13838000,0,1
4/13/2020,140,141.49,137.84,139.77,137.8837,8153200,0,1
4/9/2020,144.01,145.42,140.28,141.23,139.324,11127200,0,1
4/8/2020,137.75,144.13,137.3,143.26,141.3266,10758200,0,1
4/7/2020,139.86,142.03,137.26,137.48,135.6246,11567100,0,1
4/6/2020,137.01,140.97,135.54,139.76,137.8738,14994400,0,1
4/3/2020,132.38,134.79,131.58,134.17,132.3593,10071200,0,1
