timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/1/2020,357.71,359.44,353.56,356.9,356.9,4412230,0,1
8/31/2020,366.63,366.63,357.6898,358.19,358.19,3948240,0,1
8/28/2020,357.48,367.25,356.16,366.12,366.12,3544720,0,1
8/27/2020,351.73,358,350.58,356,356,3811724,0,1
8/26/2020,348,352.29,345.5,351.02,351.02,3511970,0,1
8/25/2020,344.71,348.46,343.33,347.66,347.66,2862965,0,1
8/24/2020,339.36,343.83,338.75,343.64,343.64,2753906,0,1
8/21/2020,338,338.8,335.97,337.1,337.1,2681080,0,1
8/20/2020,330.19,338,330.19,337.32,337.32,2966407,0,1
8/19/2020,330.04,334.4599,330,332.4,332.4,3420991,0,1
8/18/2020,330.2,331.4,326.3501,331,331,3022140,0,1
8/17/2020,327,331.23,326.675,330.23,330.23,2894481,0,1
8/14/2020,325.67,327.64,324.81,326.8,326.8,1444904,0,1
8/13/2020,325.93,329.8306,325.6237,326.19,326.19,2527126,0,1
8/12/2020,328.66,331.4,326.2,327.63,327.63,3126682,0,1
8/11/2020,325,334.55,323.58,328.54,328.54,5273319,0,1
8/10/2020,327.19,329.74,321.857,322.88,322.88,3752382,0,1
8/7/2020,328,328.33,323.93,328.02,328.02,3662668,0,1
8/6/2020,327.4,331.215,325.9,330.14,330.14,4839813,0,1
8/5/2020,316.37,329.68,315.87,328,328,5799100,0,1
8/4/2020,312.5,315.69,311.1,314.39,314.39,3409339,0,1
8/3/2020,311,313.5,309.3,312.59,312.59,3908500,0,1
7/31/2020,310,310.09,305.6101,308.53,308.53,4684553,0,1
7/30/2020,304,312.82,303.04,309,309,3941573,0,1
7/29/2020,304.5,311.66,304.12,309.3,309.3,3542405,0,1
7/28/2020,308.5,310.2,306.03,306.33,306.33,2116279,0,1
7/27/2020,307.06,310,306.0234,308.86,308.86,2311575,0,1
7/24/2020,306.48,310.73,304.54,306.92,306.92,2500686,0,1
7/23/2020,313.55,317.24,308.72,309.9,309.9,3118539,0,1
7/22/2020,308.13,313.57,308.13,313.37,313.37,3303094,0,1
7/21/2020,313,314.05,306.3,307.6,307.6,3562035,0,1
7/20/2020,301.92,314.99,301.92,311.96,311.96,5278576,0,1
7/17/2020,301.73,305.24,299.41,304.06,304.06,3169800,0,1
7/16/2020,302.97,303.53,298.91,299.35,299.35,3309300,0,1
7/15/2020,303,306.77,301.39,305.72,305.72,5249900,0,1
7/14/2020,292,299.1,288.65,298.95,298.95,4781900,0,1
7/13/2020,297.86,298.62,290.02,290.18,290.18,4850900,0,1
7/10/2020,294,296.96,291.5,295.68,295.68,3030400,0,1
7/9/2020,299.62,300.72,290.56,294.59,294.59,5042800,0,1
7/8/2020,300.91,301.54,297.4,300.15,300.15,4114900,0.4,1
7/7/2020,303.19,307.79,299.4,299.91,299.5109,3632900,0,1
7/6/2020,306.65,307.32,303.17,305.57,305.1633,3012400,0,1
7/2/2020,304.33,306.89,301.31,302.42,302.0175,3288700,0,1
7/1/2020,295.96,303.27,295.12,301.17,300.7692,3803900,0,1
6/30/2020,293.09,296.6,291.01,295.7,295.3065,4282300,0,1
6/29/2020,291.34,293.15,285.15,292.93,292.5401,3639500,0,1
6/26/2020,296.88,298.11,289.17,289.34,288.9549,4920200,0,1
6/25/2020,294.16,298.39,290.67,298.01,297.6134,3292900,0,1
6/24/2020,305,305.52,293.06,294.01,293.6187,5081400,0,1
6/23/2020,307.03,310.43,304.42,306.88,306.4716,3799800,0,1
6/22/2020,299.6,304.95,297.73,304.44,304.0348,3486200,0,1
6/19/2020,309.5,309.5,296.5,296.5,296.1054,4532000,0,1
6/18/2020,301.83,305.1,300.5,304.85,304.4443,2774900,0,1
6/17/2020,305,307.48,303.08,303.76,303.3557,2562600,0,1
6/16/2020,305.91,309.09,300.11,304.48,304.0748,4012800,0,1
6/15/2020,290,298.92,288.75,297.17,296.7745,5932800,0,1
6/12/2020,298.79,299.99,290.89,297.79,297.3937,4509900,0,1
6/11/2020,305.01,306.49,291.06,291.25,290.8624,6498500,0,1
6/10/2020,312.39,316.06,310.29,313.15,312.7332,4082500,0,1
6/9/2020,309.78,313.47,308.2,311.49,311.0754,3313600,0,1
6/8/2020,311.06,313.58,307.05,310.41,309.9969,3722600,0,1
6/5/2020,306.81,312.18,305.65,311.88,311.4649,5056900,0,1
