timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/1/2020,141.2,149.59,140.05,147.59,147.59,35708207,0,1
8/31/2020,137.48,138.89,135.53,138.85,138.85,15078777,0,1
8/28/2020,141,141.07,137.84,140.3,140.3,21350313,0,1
8/27/2020,131.08,139.35,130.9,136.63,136.63,39672909,0,1
8/26/2020,130.21,130.88,129.7,130.7,130.7,6271556,0,1
8/25/2020,130.8,131.2367,129.67,130.63,130.63,7240819,0,1
8/24/2020,132.25,132.48,130.33,131.33,131.33,6604550,0,1
8/21/2020,130.55,132.67,130.1,131.63,131.63,8287994,0,1
8/20/2020,131.21,132.07,130.05,130.57,130.57,8936882,0,1
8/19/2020,134.21,134.66,131.855,132.41,132.41,12718401,0,1
8/18/2020,136.17,137.6323,133.17,134.71,134.71,26744177,0,1
8/17/2020,134.35,136.13,133.85,135.6,135.6,12721145,0,1
8/14/2020,132.34,132.97,131.63,132.6,132.6,6702087,0,1
8/13/2020,131.21,131.96,130.73,131.85,131.85,6622444,0.54,1
8/12/2020,130.47,132.23,129.08,131.89,131.352,6372112,0,1
8/11/2020,132.59,132.87,129.7303,130.2,129.6689,8453355,0,1
8/10/2020,130.24,132.34,129.65,131.88,131.3421,5894354,0,1
8/7/2020,129.58,130.46,129.11,129.97,129.4399,5519487,0,1
8/6/2020,129.13,130.23,129.0299,129.35,128.8224,4832140,0,1
8/5/2020,130.45,130.75,128.83,129.81,129.2805,8503573,0,1
8/4/2020,129.65,131.71,128.94,131.64,131.1031,6073225,0,1
8/3/2020,129.91,130.115,128.2713,129.3,128.7726,4992088,0,1
7/31/2020,129.65,130.09,127.62,129.4,128.8722,7211535,0,1
7/30/2020,129.42,130.42,128.72,130.12,129.5893,4596121,0,1
7/29/2020,131.56,131.86,129.85,130.69,130.1569,4741109,0,1
7/28/2020,131.5,132.38,130.92,131.76,131.2226,4804721,0,1
7/27/2020,130.86,131.98,130.86,131.21,130.6748,4681850,0,1
7/24/2020,130.95,132.4,130.51,131.24,130.7047,4345783,0,1
7/23/2020,133,133.15,131.31,131.64,131.1031,5598752,0,1
7/22/2020,132.57,133.03,131.19,132.66,132.1189,5388177,0,1
7/21/2020,131.56,133.99,131.45,132.33,131.7902,7240400,0,1
7/20/2020,131.96,132.74,131.14,131.47,130.9338,6114200,0,1
7/17/2020,133.37,133.37,131.47,131.74,131.2027,6063200,0,1
7/16/2020,132.05,132.73,131.24,132.2,131.6608,5892200,0,1
7/15/2020,132.27,134.13,130.8,132,131.4616,10577100,0,1
7/14/2020,129.28,132.5,129.03,132.01,131.4715,8818600,0,1
7/13/2020,131.33,133.63,128.89,129.52,128.9917,14112800,0,1
7/10/2020,128.74,131.37,127.26,130.68,130.147,14745600,0,1
7/9/2020,125.61,128.18,124.95,127.75,127.2289,14257200,0,1
7/8/2020,128,128.13,124.4,124.44,123.9324,17405700,0,1
7/7/2020,118.45,127.55,118.22,126.95,126.4322,31152700,0,1
7/6/2020,119.8,119.87,118.22,118.89,118.4051,7231700,0,1
7/2/2020,120.09,120.88,118.86,119.21,118.7238,5892700,0,1
7/1/2020,119.45,119.92,118.66,119.69,119.2018,6577900,0,1
6/30/2020,119.22,120.13,118.54,119.78,119.2914,6836400,0,1
6/29/2020,118.5,119.68,118.215,119.06,118.5744,5503784,0,1
6/26/2020,119.6,120.84,118.02,118.32,117.8374,8997200,0,1
6/25/2020,119.76,120.16,118.38,119.71,119.2217,6856600,0,1
6/24/2020,120.74,121.12,119.58,120.3,119.8093,6871600,0,1
6/23/2020,122.75,122.85,120.96,121.07,120.5762,6575900,0,1
6/22/2020,120.97,122.09,120.4,121.68,121.1837,9112800,0,1
6/19/2020,118.89,120.3,117.75,119.85,119.3611,13359600,0,1
